area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,type,locality,area,price_unit,region,status,age,owner,posted_date,images
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,VaMarll,2750.0,5.0,1.0,240.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Varthur,8 Bedroom,,704.0,8.0,3.0,92.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,,1250.0,2.0,2.0,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sri Sai Layout,2 BHK,,1000.0,2.0,2.0,35.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2.0,2.0,53.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Jeevan bima nagar,3 BHK,Lancysi,1740.0,3.0,3.0,120.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kuvempu Nagar,3 BHK,Srersas,1540.0,3.0,2.0,150.0,,,,,,,,,,,
Super built-up  Area,18-Nov,Kaikondrahalli,2 BHK,,1000.0,2.0,1.0,30.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,,570.0,2.0,1.0,62.0,,,,,,,,,,,
Plot  Area,Ready To Move,Kyalasanahalli,4 Bedroom,UpowsMe,1200.0,4.0,3.0,110.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313.0,2.0,2.0,66.5,,,,,,,,,,,
Plot  Area,Ready To Move,Jigani,10 Bedroom,Mae 2ra,1200.0,10.0,,105.0,,,,,,,,,,,
Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1020.0,2.0,1.0,40.89,,,,,,,,,,,
Built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,4041.0,4.0,2.0,345.0,,,,,,,,,,,
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1490.0,3.0,2.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1089.0,2.0,1.0,43.55,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,SLoven ,1010.0,2.0,1.0,50.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,1200.0,3.0,0.0,90.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Govindraja Nagar,2 BHK,,1065.0,2.0,3.0,50.0,,,,,,,,,,,
Super built-up  Area,18-Jun,Padmanabhanagar,4 BHK,SollyCl,4689.0,4.0,1.0,488.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1703.0,3.0,2.0,113.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Munnekollal,3 BHK,DSalehn,1750.0,3.0,3.0,86.5,,,,,,,,,,,
Carpet  Area,Ready To Move,Bhoopsandra,3 BHK,E onsg ,2050.0,3.0,2.0,135.0,,,,,,,,,,,
Super built-up  Area,21-Dec,Hoodi,2 BHK,GoAirej,1108.0,2.0,1.0,74.23,,,,,,,,,,,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Xeitaa ,1270.0,2.0,3.0,73.0,,,,,,,,,,,
Plot  Area,Ready To Move,Bank Of Baroda Colony,5 Bedroom,,2350.0,5.0,,325.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Mathikere,2 BHK,CSncele,1500.0,2.0,2.0,130.0,,,,,,,,,,,
Super built-up  Area,18-Jan,Vasanth nagar,4 BHK,Prian E,4750.0,6.0,1.0,1102.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Akshya Nagar,3 BHK,,1320.0,2.0,1.0,58.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBncele,1485.0,2.0,2.0,67.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475.0,4.0,3.0,300.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SVyam N,1525.0,3.0,1.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194.0,2.0,2.0,46.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1740.0,3.0,0.0,120.0,,,,,,,,,,,
Plot  Area,Ready To Move,Hebbal,4 Bedroom,,2700.0,2.0,2.0,100.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Ulsoor,1 Bedroom,,840.0,1.0,1.0,150.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,URodsmb,1119.0,2.0,1.0,48.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1894.0,4.0,1.0,114.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1155.0,2.0,1.0,60.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Hosa Road,3 BHK,Saowsou,1100.0,2.0,3.0,85.0,,,,,,,,,,,
Plot  Area,Ready To Move,Kogilu,7 Bedroom,,2456.0,7.0,2.0,85.0,,,,,,,,,,,
Built-up  Area,18-Jun,Whitefield,4 BHK,,2830.0,4.0,3.0,161.0,,,,,,,,,,,
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1109.0,2.0,1.0,41.49,,,,,,,,,,,
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,1569.0,3.0,2.0,118.0,,,,,,,,,,,
Super built-up  Area,18-Jun,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,1.0,146.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,58.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1475.0,2.0,2.0,58.99,,,,,,,,,,,
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,2500.0,4.0,1.0,420.0,,,,,,,,,,,
Super built-up  Area,19-Jun,Budigere,1 BHK,Brstaue,764.0,1.0,1.0,32.0,,,,,,,,,,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080.0,2.0,2.0,72.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,2.0,53.5,,,,,,,,,,,
Built-up  Area,18-Dec,Electronic City,2 BHK,,1020.0,2.0,1.0,29.46,,,,,,,,,,,
Super built-up  Area,Ready To Move,Telecom Layout,3 BHK,,1450.0,2.0,1.0,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Foghaa ,1305.0,3.0,1.0,60.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Saoneil,1101.0,2.0,1.0,50.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025.0,2.0,1.0,46.0,,,,,,,,,,,
Super built-up  Area,18-Mar,Hulimavu,4 BHK,Vapasrk,3560.0,5.0,3.0,318.0,,,,,,,,,,,
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1065.0,2.0,1.0,47.86,,,,,,,,,,,
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1459.0,3.0,2.0,135.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SaSkyBl,1148.0,2.0,1.0,43.5,,,,,,,,,,,
Built-up  Area,Ready To Move,Padmanabhanagar,3 Bedroom,,4500.0,4.0,2.0,360.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,NaonySy,1550.0,3.0,1.0,86.8,,,,,,,,,,,
Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,,620.0,2.0,1.0,23.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1328.0,2.0,2.0,69.0,,,,,,,,,,,
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,,,,,,,,,,,
Plot  Area,18-Mar,Hunasamaranahalli,4 Bedroom,EmardBo,7500.0,4.0,2.0,900.0,,,,,,,,,,,
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,2500.0,4.0,0.0,140.0,,,,,,,,,,,
Plot  Area,Ready To Move,Vishveshwarya Layout,3 Bedroom,,600.0,4.0,0.0,99.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Choodasandra,3 Bedroom,LGlarAs,3204.0,4.0,3.0,395.0,,,,,,,,,,,
Super built-up  Area,18-Apr,Jakkur,3 BHK,,2197.0,3.0,2.0,136.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1261.0,2.0,1.0,80.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1120.0,2.0,1.0,50.0,,,,,,,,,,,
Super built-up  Area,18-Jun,Whitefield,2 BHK,ARipsul,1074.0,2.0,1.0,42.8,,,,,,,,,,,
Built-up  Area,Ready To Move,KR Puram,1 BHK,,700.0,1.0,1.0,21.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1685.0,3.0,2.0,95.0,,,,,,,,,,,
Carpet  Area,Ready To Move,Bannerghatta Road,3 BHK,Vemit S,1470.0,2.0,1.0,85.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Panathur,3 BHK,Prcesvy,1713.0,3.0,1.0,120.0,,,,,,,,,,,
Plot  Area,Ready To Move,HAL 2nd Stage,4 Bedroom,,2280.0,4.0,2.0,615.0,,,,,,,,,,,
Super built-up  Area,18-May,Sarjapur  Road,2 BHK,SJityaz,1308.0,2.0,1.0,75.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,TealdEm,1170.0,2.0,2.0,86.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1489.0,2.0,3.0,82.0,,,,,,,,,,,
Super built-up  Area,19-Dec,Horamavu Agara,2 BHK,Prhar G,1169.0,2.0,1.0,64.0,,,,,,,,,,,
Plot  Area,17-Oct,Hennur,3 Bedroom,,1150.0,3.0,2.0,80.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883.0,2.0,1.0,45.0,,,,,,,,,,,
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1132.0,2.0,1.0,89.37,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Kenia G,1330.0,2.0,1.0,75.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610.0,2.0,2.0,111.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Dehts H,1510.0,2.0,3.0,59.0,,,,,,,,,,,
Plot  Area,Ready To Move,Rajarajeshwarinagar,4 Bedroom,,1200.0,5.0,,325.0,,,,,,,,,,,
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,2273.0,3.0,2.0,145.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1063.0,2.0,2.0,42.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 Bedroom,,1500.0,2.0,2.0,95.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1580.0,2.0,0.0,134.0,,,,,,,,,,,
Plot  Area,Ready To Move,Nobo Nagar,6 Bedroom,,1500.0,7.0,3.0,220.0,,,,,,,,,,,
Plot  Area,Ready To Move,Hormavu,4 Bedroom,Prageta,3500.0,4.0,1.0,289.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,2912.0,6.0,2.0,210.0,,,,,,,,,,,
Plot  Area,Ready To Move,Konanakunte,4 Bedroom,,1200.0,4.0,0.0,125.0,,,,,,,,,,,
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1494.0,2.0,2.0,94.55,,,,,,,,,,,
Plot  Area,17-Dec,Banashankari,3 Bedroom,,600.0,3.0,1.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Srncya ,1515.0,2.0,1.0,76.0,,,,,,,,,,,
Carpet  Area,Ready To Move,Kothannur,4 Bedroom,,2000.0,4.0,2.0,95.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340.0,5.0,1.0,129.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115.0,2.0,1.0,50.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,,1280.0,2.0,2.0,40.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1950.0,4.0,2.0,120.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Whitefield,4 BHK,,2444.0,4.0,,145.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1050.0,2.0,1.0,45.0,,,,,,,,,,,
Carpet  Area,Ready To Move,K R C kothanur,2 BHK,,1140.0,2.0,3.0,45.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,JaaldEm,1325.0,2.0,2.0,50.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1020.0,2.0,2.0,39.0,,,,,,,,,,,
Plot  Area,Ready To Move,Kengeri Hobli,3 Bedroom,,600.0,2.0,0.0,30.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,BTM 1st Stage,3 BHK,Coise P,1852.0,2.0,,95.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,2023.0,4.0,2.0,130.0,,,,,,,,,,,
Plot  Area,Ready To Move,HAL 2nd Stage,7 Bedroom,,1000.0,7.0,3.0,250.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,Brine J,750.0,1.0,1.0,52.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1787.0,3.0,2.0,120.0,,,,,,,,,,,
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2171.66,3.0,2.0,298.0,,,,,,,,,,,
Super built-up  Area,17-Nov,Sonnenahalli,2 BHK,Skacak ,1059.0,2.0,1.0,62.0,,,,,,,,,,,
Plot  Area,Ready To Move,Gaurava Nagar,5 Bedroom,,1650.0,6.0,,200.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Esave E,1340.0,2.0,3.0,85.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Prigh L,2100.0,3.0,3.0,125.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1420.0,2.0,2.0,75.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275.0,4.0,2.0,182.0,,,,,,,,,,,
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,2396.0,4.0,2.0,325.0,,,,,,,,,,,
Super built-up  Area,21-Jul,Hoodi,3 BHK,GoAirej,1639.0,3.0,1.0,98.32,,,,,,,,,,,
Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,,3200.0,7.0,0.0,150.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,MVkleiw,1860.0,3.0,2.0,95.0,,,,,,,,,,,
Super built-up  Area,18-May,Hoodi,2 BHK,,1240.0,2.0,3.0,43.94,,,,,,,,,,,
Built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,710.0,2.0,2.0,40.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,3875.0,3.0,2.0,800.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,,1194.0,2.0,2.0,45.0,,,,,,,,,,,
Super built-up  Area,18-Apr,Yelahanka,2 BHK,,1350.0,2.0,1.0,55.55,,,,,,,,,,,
Super built-up  Area,18-Dec,Hosakerehalli,2 BHK,Maunt M,1085.0,2.0,1.0,47.74,,,,,,,,,,,
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,900.0,2.0,0.0,49.0,,,,,,,,,,,
Super built-up  Area,18-Jul,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,,,,,,,,,,,
Super built-up  Area,Ready To Move,Varsova Layout,2 BHK,InhtsHe,1088.0,2.0,2.0,43.5,,,,,,,,,,,
Plot  Area,Ready To Move,Malleshwaram,8 Bedroom,,840.0,7.0,2.0,195.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025.0,2.0,1.0,48.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058.0,2.0,1.0,48.0,,,,,,,,,,,
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,1044.0,2.0,2.0,85.0,,,,,,,,,,,
Plot  Area,Ready To Move,anjananager magdi road,3 Bedroom,,1200.0,3.0,1.0,165.0,,,,,,,,,,,
Plot  Area,Ready To Move,Brookefield,4 Bedroom,,1700.0,4.0,1.0,152.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367.0,4.0,3.0,340.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000.0,9.0,3.0,360.0,,,,,,,,,,,
Plot  Area,18-Jul,Whitefield,2 Bedroom,,1200.0,2.0,1.0,45.84,,,,,,,,,,,
Built-up  Area,Ready To Move,Hebbal,2 BHK,,919.0,2.0,1.0,49.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Nagarbhavi,1 Bedroom,,900.0,1.0,0.0,175.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,Veodsar,1302.0,2.0,1.0,69.1,,,,,,,,,,,
Super built-up  Area,Ready To Move,Judicial Layout,2 BHK,,1165.0,2.0,1.0,49.61,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,ChionCo,1414.0,2.0,,84.18,,,,,,,,,,,
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930.0,2.0,2.0,39.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1600.0,3.0,3.0,105.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Thanisandra,2 BHK,Tenetee,1234.0,2.0,2.0,51.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur,4 BHK,Prldsum,3508.0,6.0,2.0,425.0,,,,,,,,,,,
Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,1948.0,3.0,2.0,130.0,,,,,,,,,,,
Super built-up  Area,19-Dec,Electronic City Phase II,3 BHK,DSineSt,1651.0,3.0,1.0,49.53,,,,,,,,,,,
Super built-up  Area,Ready To Move,Medahalli,2 BHK,,990.0,2.0,3.0,35.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1552.0,3.0,3.0,75.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,ToSky F,2800.0,3.0,1.0,330.0,,,,,,,,,,,
Plot  Area,18-Apr,Gattahalli,3 Bedroom,Miiewa ,2000.0,2.0,2.0,95.0,,,,,,,,,,,
Super built-up  Area,21-Jun,Vijayanagar,2 BHK,Saityat,1180.0,2.0,1.0,86.0,,,,,,,,,,,
Super built-up  Area,18-May,Kundalahalli,3 BHK,Dieldli,1397.0,3.0,3.0,108.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,,1850.0,3.0,3.0,98.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Nayandanahalli,3 BHK,Rarelt ,1350.0,2.0,3.0,68.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,Almid P,1293.0,2.0,2.0,80.0,,,,,,,,,,,
Plot  Area,Ready To Move,Chikkaballapur,3 Bedroom,,1500.0,3.0,3.0,100.0,,,,,,,,,,,
Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1591.0,3.0,1.0,115.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Somasundara Palya,3 BHK,ManceEl,2372.0,3.0,,140.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,,1175.0,2.0,2.0,48.27,,,,,,,,,,,
Carpet  Area,Ready To Move,Doddakannelli,3 BHK,,780.0,3.0,,75.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,36.0,,,,,,,,,,,
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.01,,,,,,,,,,,
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Nillsre,1415.0,2.0,3.0,67.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1874.0,4.0,1.0,130.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530.0,2.0,2.0,74.39,,,,,,,,,,,
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Shers S,1200.0,2.0,1.0,60.0,,,,,,,,,,,
Super built-up  Area,18-Jul,Sarjapur  Road,2 BHK,PualeSk,1346.0,2.0,1.0,74.03,,,,,,,,,,,
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194.0,2.0,2.0,46.0,,,,,,,,,,,
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1200.0,2.0,0.0,95.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1322.0,2.0,1.0,77.9,,,,,,,,,,,
Plot  Area,Ready To Move,Billekahalli,5 Bedroom,,1180.0,5.0,2.0,98.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,SNontle,2650.0,4.0,3.0,199.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Kodichikkanahalli,5 Bedroom,,2700.0,4.0,2.0,125.0,,,,,,,,,,,
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355.0,2.0,1.0,67.0,,,,,,,,,,,
Plot  Area,18-Jul,Dodsworth Layout,4 Bedroom,,30000.0,4.0,,2100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918.0,2.0,2.0,63.2,,,,,,,,,,,
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1175.0,2.0,1.0,57.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,,1140.0,2.0,2.0,46.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Saace P,1300.0,2.0,3.0,110.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Aiitya ,1575.0,3.0,,78.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1705.0,3.0,1.0,110.0,,,,,,,,,,,
Built-up  Area,18-Dec,Electronic City,2 BHK,,1140.0,2.0,1.0,32.93,,,,,,,,,,,
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,,1595.0,3.0,2.0,115.0,,,,,,,,,,,
Super built-up  Area,18-Apr,Peenya,2 BHK,,966.0,2.0,2.0,50.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000.0,8.0,,250.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,DSpazTo,1088.0,2.0,2.0,48.0,,,,,,,,,,,
Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1051.0,2.0,2.0,56.74,,,,,,,,,,,
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,SiineSu,1560.0,3.0,3.0,125.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,1875.0,3.0,1.0,167.0,,,,,,,,,,,
Plot  Area,18-May,Ramagondanahalli,2 Bedroom,,845.0,2.0,1.0,45.82,,,,,,,,,,,
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1090.0,2.0,2.0,31.48,,,,,,,,,,,
Plot  Area,Ready To Move,Kattigenahalli,8 Bedroom,,1200.0,8.0,1.0,135.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,KR Puram,3 BHK,SLontel,1300.0,2.0,2.0,57.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1515.0,2.0,1.0,80.91,,,,,,,,,,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306.0,2.0,2.0,44.17,,,,,,,,,,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1128.0,2.0,2.0,38.24,,,,,,,,,,,
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1258.0,2.0,1.0,63.53,,,,,,,,,,,
Built-up  Area,Ready To Move,Hoodi,2 BHK,,1240.0,2.0,3.0,65.0,,,,,,,,,,,
Super built-up  Area,18-Aug,Varthur Road,2 BHK,,1140.0,2.0,2.0,49.11,,,,,,,,,,,
Super built-up  Area,18-Dec,Hennur Road,3 BHK,Shxorm ,1590.0,3.0,2.0,105.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,,3000.0,4.0,2.0,400.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1285.0,2.0,1.0,60.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,Jancyva,1265.0,2.0,3.0,55.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1150.0,2.0,3.0,44.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Srdids ,1150.0,2.0,1.0,69.44,,,,,,,,,,,
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Jaood G,1080.0,2.0,2.0,32.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1190.0,2.0,1.0,64.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Soodsa ,1051.0,2.0,2.0,60.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Whitefield,3 Bedroom,,1600.0,3.0,0.0,69.1,,,,,,,,,,,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,K ncy R,1180.0,2.0,1.0,128.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,1210.0,2.0,1.0,54.0,,,,,,,,,,,
Super built-up  Area,20-Feb,Vijayanagar,3 BHK,Saahaat,1484.0,3.0,2.0,79.19,,,,,,,,,,,
Built-up  Area,Ready To Move,Vinayak Nagar,1 BHK,,705.0,1.0,2.0,36.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745.0,3.0,2.0,125.0,,,,,,,,,,,
